original,normalized,confidence,occurrences,note
复工事儿,返工的事儿,high,1,语境：不做返工的事
一而不决,议而不决,high,3,成语
瓦瓦解了,瓦解了,high,1,重复字
偏竖的部分,偏术的部分,high,1,与后文道的部分对应
这个倒的部分,这个道的部分,high,1,道术对应
二一填错25500,二一添作五，25%,high,1,成语+数字
at tenable,attainable,high,2,SMART术语
11000般的话,1万1，一般的话,high,1,涨粉数据语境
是relative,是related,high,1,SMART术语统一
如无必要物增实体,如无必要勿增实体,high,3,奥卡姆剃刀原文
奥嘎姆剃刀,奥卡姆剃刀,high,2,人名/术语
杨某,阳谋,high,2,与阴谋对应
pic AP artist,Pickup Artist,high,1,PUA原称
道德高低,道德高地,high,1,固定表达
龙凤图,龙永图,high,1,WTO中方主谈代表
罗永图,龙永图,high,1,同上
中基总理,朱镕基总理,high,1,史实
周总理说没有问题,朱总理说没有问题,high,1,上下文为朱镕基
一定要入市,一定要入世,high,2,WTO语境
撩他刀子走人,撂挑子走人,high,1,固定表达
芭芭拉平托,芭芭拉·明托,high,1,金字塔原理作者
搞养母,搞阳谋,high,1,与前文阳谋对应
谈的戒指,谈的介质,high,1,沟通渠道语境
面谈辞职是电话，电话辞职是微信文字，发短信再辞职是邮件,面谈，其次是电话；电话，其次是微信文字、短信；再其次是邮件,high,1,辞职=其次的误识
数语,术语,high,1,避免术语语境
钢筋,抬杠,high,1,语境
bei lief,belief,high,1,ABC术语
狗要。狗一嘴毛,狗咬狗一嘴毛,high,1,俗语
颠倒不破,颠扑不破,high,1,成语
对其目标,对齐目标,high,5,向上管理语境
poa你,PUA你,high,1,职场PUA语境
职场老条,职场老油条,high,1,语境
法码,筹码,high,1,语境
熬成河,熬成婆,high,1,俗语
越组代刨,越俎代庖,high,1,成语
锅肉/骨肉/g rod/gross,GROW,high,9,教练模型名
简答问题,简单问题,high,1,语境
心能转静,心能转境,high,2,心能转境、境由心起
静由心起,境由心起,high,1,同上
失交,失焦,high,1,识别问题语境
问问议员,问问意愿,high,1,GROW意愿语境
穷极方案,穷举方案,high,1,发散收敛语境
评级,平级,high,20,第十课主题为平级沟通
财量权,裁量权,high,1,权利定义语境
责权利/权责力,权责利,high,4,术语统一
非缺,肥缺,high,1,利益独大语境
抱自己的团儿,抱自己的团儿,high,1,抱团
补的槽,吐的槽,high,1,吃饭吐槽对仗
销售级产品,销售即产品,high,2,经营理念
言简意骇,言简意赅,high,1,成语
应认而解,迎刃而解,high,1,成语
二十八十原则/2080,二八原则（80/20）,high,3,术语统一
颓不破,颠扑不破,high,1,成语
