original,normalized,confidence,occurrences,note
我们现在中国处于什么叫社会主义初级阶段，并将长期。既处于社会主义初级阶段,我们现在中国处于社会主义初级阶段，并将长期处于社会主义初级阶段,high,1,政治表述转写
战略学者的时候���多是外向性的抉择,战略选择的时候，多是外向性的抉择,medium,1,乱码复原
领导���待是什么,领导期待是什么,high,1,乱码复原
管理形��之前,管理形式之前,medium,1,乱码复原
比如说有利游客啊,比如说友邻课啊,high,1,品牌名
我们有利用课使命愿景价值观,我们友邻课使命愿景价值观,high,1,品牌名
到友林工作,到友邻工作,high,1,品牌名
极简管理课的八件,极简管理课的八讲,high,1,课程结构
基建管理课的第五讲,极简管理课的第五讲,high,1,课程名转写
几讲管理学的第八讲,极简管理学的第八讲,high,1,课程名转写
当时自杰这个o kr在推的时候,当时字节这个OKR在推的时候,high,1,公司名
的CEO皮查他呢,的CEO皮查伊呢,high,1,人名
菜所性的一些失败,探索性的一些失败,high,1,术语
探心不熟,半生不熟,high,1,成语
小巨大,小聚大,high,5,术语统一（大拆小小聚大）
全变理论,权变理论,high,1,术语
焊工剃刀,汉龙剃刀,high,1,术语统一
汉龙提刀,汉龙剃刀,high,1,术语统一
什么叫奥卡姆，提到,什么叫奥卡姆剃刀,high,1,术语断句
如无必要物争实体,如无必要，勿增实体,high,1,奥卡姆剃刀
如无必要物增实体,如无必要，勿增实体,high,1,奥卡姆剃刀
不愤不启，不绯不发,不愤不启，不悱不发,high,1,《论语》引文
流言绯语,流言蜚语,high,1,成语
杀一敬百,杀一儆百,high,1,成语
披漏,纰漏,high,1,术语
立出一孔,利出一孔,high,1,术语统一
行业里的首手,行业里的熟手,high,1,术语
妙小这个妖风大潜池王八多,庙小妖风大、池浅王八多,medium,1,谚语
五脸见江东父老,无脸见江东父老,high,1,习语
辞职逼供,辞职逼宫,high,1,习语
保荐因素,保健因素,high,2,双因素术语
密心制,密薪制,high,2,术语统一
与其匠心,与其降薪,high,1,术语
主资说,组织说,high,1,术语
对右，,对呀，,high,2,语气词转写
11点儿,一点儿,high,4,口语转写
第21定要保持沟通,第二，一定要保持沟通,high,1,序号转写
OK 1定要,OK，一定要,high,1,断句
1到1个新的团队,一到一个新的团队,high,1,数字转写
0到10到十分儿,0到10打分,medium,1,口语转写
k pi o kr,KPI、OKR,high,1,缩写统一
OK 21旦,OKR一旦,high,1,缩写统一
提一点OK 2呢,提一点，OKR呢,high,1,缩写统一
没问题啊OK 2呢,没问题啊，OKR呢,high,1,缩写统一
模型啊swot稍微讲一下吧swots代表优势w weakness代表弱势,模型啊，SWOT稍微讲一下吧：S代表优势，W（weakness）代表弱势,high,1,字母与断句
不管是kp还是OK 2啊,不管是KPI还是OKR啊,high,1,缩写统一
用v kr也好,用OKR也好,high,1,缩写统一
o kr,OKR,high,54,缩写统一
k pi,KPI,high,0,缩写统一
啊swots代表优势,啊，S代表优势,high,0,字母
swot,SWOT,high,2,缩写统一
叫jd对吧,叫JD对吧,high,1,缩写统一
做tob生意,做ToB生意,high,1,术语
这种toc的销售,这种ToC的销售,high,1,术语
sop,SOP,high,13,缩写统一
符合司马尔的原则,符合SMART的原则,high,1,音译统一
smart,SMART,high,39,缩写统一
s1,S1,high,7,编号统一
s2,S2,high,14,编号统一
s3,S3,high,5,编号统一
s4,S4,high,9,编号统一
更不用规则啊,更不用归责啊,high,1,归责转写
不要去规则啊,不要去归责啊,high,1,归责转写
你这一规则,你这一归责,high,1,归责转写
我们没有规则，,我们没有归责，,high,1,归责转写
复盘不是为了规则。,复盘不是为了归责。,high,1,归责转写
不要动不动就去规则第二,不要动不动就去归责第二,high,1,归责转写
